Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guadeloupe,Americas,54672,13663.764,198,49.485,0,822,205.436,2,0.5,0
Fiji,Western Pacific,52356,5840.403,147,16.398,0,679,75.744,5,0.558,0
Lao People's Democratic Republic,Western Pacific,50977,700.661,6916,95.058,945,93,1.278,17,0.234,2
Suriname,Americas,49902,8506.525,540,92.051,90,1126,191.943,25,4.262,4
Eswatini,Africa,46465,4005.037,11,0.948,1,1245,107.312,2,0.172,0
Syrian Arab Republic,Eastern Mediterranean,45645,260.819,1196,6.834,0,2644,15.108,44,0.251,0
French Polynesia,Western Pacific,45573,16223.461,0,0,0,636,226.409,0,0,0
French Guiana,Americas,45306,15168.641,342,114.503,0,318,106.468,5,1.674,0
Martinique,Americas,43962,11714.921,615,163.884,81,700,186.535,17,4.53,0
Madagascar,Africa,43672,157.712,40,0.144,0,964,3.481,0,0,0
Sudan,Eastern Mediterranean,41093,93.714,121,0.276,0,3067,6.994,8,0.018,0
Cabo Verde,Africa,38287,6886.312,59,10.612,8,349,62.771,0,0,0
Malta,Europe,38069,7398.302,294,57.136,63,462,89.785,0,0,0
Mauritania,Africa,37941,815.995,406,8.732,57,805,17.313,4,0.086,0
Gabon,Africa,36587,1643.817,567,25.475,0,262,11.771,13,0.584,0
Guyana,Americas,36439,4632.752,639,81.241,134,952,121.035,24,3.051,1
Papua New Guinea,Western Pacific,32627,364.669,1340,14.977,249,430,4.806,24,0.268,15
Guinea,Africa,30715,233.88,34,0.259,6,387,2.947,2,0.015,0
Belize,Americas,28568,7184.605,1045,262.808,167,530,133.29,31,7.796,11
United Republic of Tanzania,Africa,26196,43.854,0,0,0,725,1.214,0,0,0
Togo,Africa,26133,315.665,31,0.374,0,243,2.935,0,0,0
Benin,Africa,24827,204.789,23,0.19,0,161,1.328,0,0,0
Haiti,Americas,24383,213.839,273,2.394,0,705,6.183,13,0.114,0
Somalia,Eastern Mediterranean,22693,142.784,0,0,0,1294,8.142,0,0,0
Seychelles,Africa,22574,22953.42,193,196.244,0,114,115.916,0,0,0
Bahamas,Americas,22552,5734.862,67,17.038,0,665,169.106,8,2.034,0
Lesotho,Africa,21687,1012.347,15,0.7,0,660,30.809,2,0.093,0
Barbados,Americas,21011,7311.353,2159,751.283,335,183,63.68,19,6.612,0
Mayotte,Africa,20769,7612.851,118,43.253,18,185,67.812,0,0,0
Burundi,Africa,20221,170.056,85,0.715,11,14,0.118,0,0,0
Timor-Leste,South-East Asia,19809,1502.452,14,1.062,0,122,9.253,0,0,0
Mauritius,Africa,18979,1492.332,665,52.289,0,240,18.871,41,3.224,0
Congo,Africa,18153,328.973,209,3.788,0,309,5.6,12,0.217,0
Tajikistan,Europe,17488,183.358,2,0.021,0,125,1.311,0,0,0
Curaçao,Americas,17167,10461.75,56,34.127,0,175,106.647,0,0,0
Mali,Africa,16563,81.789,329,1.625,36,582,2.874,12,0.059,1
Aruba,Americas,16025,15009.46,76,71.184,0,172,161.1,1,0.937,0
Andorra,Europe,15744,20376.626,126,163.075,0,130,168.252,0,0,0
Iceland,Europe,15321,4207.517,1053,289.179,181,34,9.337,0,0,0
Burkina Faso,Africa,15281,73.103,178,0.852,0,234,1.119,13,0.062,0
Guam,Western Pacific,14977,8873.945,171,101.318,0,258,152.866,10,5.925,0
Brunei Darussalam,Western Pacific,14058,3213.411,513,117.263,96,55,12.572,0,0,0
Djibouti,Eastern Mediterranean,13493,1365.688,4,0.405,0,186,18.826,3,0.304,0
Equatorial Guinea,Africa,13459,959.312,52,3.706,0,168,11.974,0,0,0
Nicaragua,Americas,13150,198.504,103,1.555,0,210,3.17,1,0.015,0
Saint Lucia,Americas,12785,6962.484,140,76.242,28,267,145.403,7,3.812,3
South Sudan,Africa,12558,112.188,105,0.938,12,133,1.188,0,0,0
Jersey,Europe,11807,10953.097,489,453.635,110,80,74.214,0,0,0
Central African Republic,Africa,11666,241.544,87,1.801,87,101,2.091,1,0.021,1
New Caledonia,Western Pacific,11506,4030.151,324,113.486,40,272,95.272,5,1.751,1
Isle of Man,Europe,10159,11947.267,275,323.408,53,64,75.266,4,4.704,4
Gambia,Africa,9980,412.965,7,0.29,0,341,14.11,0,0,0
Yemen,Eastern Mediterranean,9902,33.199,71,0.238,0,1918,6.431,17,0.057,0
New Zealand,Western Pacific,7945,164.758,1168,24.221,202,33,0.684,4,0.083,0
United States Virgin Islands,Americas,7329,7018.434,78,74.695,23,84,80.441,2,1.915,1
Eritrea,Africa,7013,197.749,103,2.904,10,48,1.353,3,0.085,0
Niger,Africa,6626,27.373,192,0.793,37,229,0.946,9,0.037,2
Sierra Leone,Africa,6400,80.231,2,0.025,0,121,1.517,0,0,0
Gibraltar,Europe,6328,18782.464,237,703.452,72,98,290.879,0,0,0
Guinea-Bissau,Africa,6263,318.242,114,5.793,60,143,7.266,0,0,0
Grenada,Americas,5863,5210.49,7,6.221,0,200,177.741,2,1.777,0
Liberia,Africa,5818,115.033,3,0.059,0,287,5.675,0,0,0
Bermuda,Americas,5702,9156.456,37,59.416,10,106,170.218,0,0,0
San Marino,Europe,5624,16571.395,36,106.076,10,92,271.083,0,0,0
Saint Vincent and the Grenadines,Americas,5167,4657.473,117,105.462,0,69,62.196,0,0,0
Chad,Africa,5107,31.091,0,0,0,175,1.065,0,0,0
Dominica,Americas,4961,6891.139,98,136.128,0,32,44.45,0,0,0
Sint Maarten,Americas,4520,10540.553,19,44.308,0,75,174.899,0,0,0
Comoros,Africa,4352,500.459,52,5.98,3,148,17.019,1,0.115,1
Antigua and Barbuda,Americas,4102,4188.749,30,30.634,6,105,107.221,1,1.021,0
Saint Martin,Americas,3975,10282.211,34,87.948,0,38,98.295,1,2.587,0
Liechtenstein,Europe,3846,9925.93,102,263.246,0,58,149.689,0,0,0
Sao Tome and Principe,Africa,3730,1701.961,12,5.475,0,56,25.552,0,0,0
Monaco,Europe,3467,8834.472,39,99.378,6,36,91.734,0,0,0
Cayman Islands,Americas,3427,5214.547,1071,1629.641,0,2,3.043,0,0,0
Turks and Caicos Islands,Americas,3021,7802.572,20,51.656,0,23,59.404,0,0,0
Faroe Islands,Europe,2778,5685.051,294,601.658,0,6,12.279,1,2.046,0
British Virgin Islands,Americas,2745,9078.282,20,66.144,0,38,125.674,1,3.307,0
Saint Kitts and Nevis,Americas,2735,5141.751,39,73.319,5,27,50.76,2,3.76,0
Bhutan,South-East Asia,2623,339.939,0,0,0,3,0.389,0,0,0
Guernsey,Europe,2572,3989.576,319,494.819,79,23,35.677,0,0,0
Bonaire,Americas,2508,11991.394,72,344.251,0,20,95.625,1,4.781,0
Saint Barthélemy,Americas,1661,16803.237,1,10.116,0,4,40.465,0,0,0
Anguilla,Americas,1077,7179.043,58,386.615,0,2,13.332,1,6.666,0
Greenland,Europe,982,1729.726,136,239.555,19,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,381,661.952,42,72.971,1,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,79,2268.16,10,287.109,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,29,923.861,1,31.857,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
